route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
"200",1,514,"Westbound Amtrak",1,119,10
"200",1,515,"Eastbound Pittsburg-Bay Point BART",0,119,11
"380",1,516,"Eastbound Antioch BART",0,119,32
"384",1,517,"Eastbound Brentwood Park & Ride",0,119,46
"391",1,518,"Westbound Pittsburg Center BART",1,119,47
"389",1,519,"Loop Pittsburg-Bay Point BART",0,120,63
"380",1,520,"Eastbound Antioch BART",0,120,32
"300",1,521,"Eastbound Brentwood Park & Ride",0,120,27
"391",1,522,"Westbound Pittsburg Center BART",1,120,47
"200",1,523,"Westbound Amtrak",1,120,10
"200",1,524,"Eastbound Pittsburg-Bay Point BART",0,120,11
"387",1,525,"Eastbound Antioch BART",0,120,52
"380",1,526,"Westbound Pittsburg-Bay Point BART",1,120,49
"390",1,527,"Eastbound Antioch BART",0,120,7
"300",1,528,"Eastbound Brentwood Park & Ride",0,120,27
"391",1,529,"Westbound Pittsburg Center BART",1,121,47
"388",1,530,"Eastbound Kaiser",0,121,54
"201",1,531,"Westbound Concord BART",1,122,8
"388",1,532,"Westbound Pittsburg-Bay Point BART",1,123,60
"380",1,533,"Eastbound Antioch BART",0,123,32
"385",1,534,"Eastbound Brentwood Park & Ride",0,123,44
"391",1,535,"Westbound Pittsburg Center BART",1,123,47
"200",1,536,"Westbound Amtrak",1,123,10
"200",1,537,"Eastbound Pittsburg-Bay Point BART",0,123,11
"300",1,538,"Westbound Antioch BART",1,124,26
"380",1,539,"Westbound Pittsburg-Bay Point BART",1,124,49
"387",1,540,"Eastbound Antioch BART",0,124,52
"388",1,541,"Westbound Pittsburg-Bay Point BART",1,124,60
"389",1,542,"Loop Pittsburg-Bay Point BART",0,124,63
"380",1,543,"Eastbound Antioch BART",0,124,32
"300",1,544,"Eastbound Brentwood Park & Ride",0,124,27
"391",1,545,"Westbound Pittsburg Center BART",1,124,47
"201",1,546,"Westbound Concord BART",1,124,8
"201",1,547,"Eastbound Pittsburg-Bay Point BART",0,124,9
"384",1,548,"Westbound Antioch BART",1,125,23
"387",1,549,"Westbound Pittsburg-Bay Point BART",1,125,55
"200",1,550,"Westbound Amtrak",1,125,10
"200",1,551,"Eastbound Pittsburg-Bay Point BART",0,125,11
"387",1,552,"Westbound Pittsburg-Bay Point BART",1,125,55
