trip_id,stop_id,arrival_time,departure_time,stop_sequence,continuous_pickup,continuous_drop_off,start_service_area_radius,end_service_area_radius,departure_buffer
800109-SCH-1909-Blocking-Weekday-30,755006,06:26:00,06:26:00,1,-999,-999,-999.0,-999.0,0
800109-SCH-1909-Blocking-Weekday-30,755000,06:31:00,06:32:00,2,-999,-999,-999.0,-999.0,0
800110-SCH-1909-Blocking-Weekday-30,755000,06:22:00,06:22:00,1,-999,-999,-999.0,-999.0,0
800110-SCH-1909-Blocking-Weekday-30,755006,06:29:00,06:31:00,2,-999,-999,-999.0,-999.0,0
800111-SCH-1909-Blocking-Weekday-30,755006,06:31:00,06:31:00,1,-999,-999,-999.0,-999.0,0
800111-SCH-1909-Blocking-Weekday-30,755000,06:36:00,06:37:00,2,-999,-999,-999.0,-999.0,0
800112-SCH-1909-Blocking-Weekday-30,755000,06:25:00,06:25:00,1,-999,-999,-999.0,-999.0,0
800112-SCH-1909-Blocking-Weekday-30,755006,06:32:00,06:34:00,2,-999,-999,-999.0,-999.0,0
800113-SCH-1909-Blocking-Weekday-30,755006,06:34:00,06:34:00,1,-999,-999,-999.0,-999.0,0
800113-SCH-1909-Blocking-Weekday-30,755000,06:39:00,06:40:00,2,-999,-999,-999.0,-999.0,0
800114-SCH-1909-Blocking-Weekday-30,755000,06:28:00,06:28:00,1,-999,-999,-999.0,-999.0,0
800114-SCH-1909-Blocking-Weekday-30,755006,06:35:00,06:37:00,2,-999,-999,-999.0,-999.0,0
800115-SCH-1909-Blocking-Weekday-30,755006,06:37:00,06:37:00,1,-999,-999,-999.0,-999.0,0
800115-SCH-1909-Blocking-Weekday-30,755000,06:42:00,06:43:00,2,-999,-999,-999.0,-999.0,0
800116-SCH-1909-Blocking-Weekday-30,755000,06:32:00,06:32:00,1,-999,-999,-999.0,-999.0,0
800116-SCH-1909-Blocking-Weekday-30,755006,06:39:00,06:41:00,2,-999,-999,-999.0,-999.0,0
800117-SCH-1909-Blocking-Weekday-30,755006,06:41:00,06:41:00,1,-999,-999,-999.0,-999.0,0
800117-SCH-1909-Blocking-Weekday-30,755000,06:46:00,06:47:00,2,-999,-999,-999.0,-999.0,0
800118-SCH-1909-Blocking-Weekday-30,755000,06:35:00,06:35:00,1,-999,-999,-999.0,-999.0,0
800118-SCH-1909-Blocking-Weekday-30,755006,06:42:00,06:44:00,2,-999,-999,-999.0,-999.0,0
